# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,44.33,0.47,23.75,0.43,30,0
250,44.5,0.5,24,0,30.25,0.43
500,44,0.71,24,0,30.5,0.5
750,43,0.71,21.75,1.3,31.5,1.12
1000,42.75,0.43,25,2.24,35.25,1.3
1250,42.25,0.43,28,0.71,35.25,1.3
1500,42,0,27.33,0.47,34.25,1.3
1750,42,0,27,0.71,33.5,0.87
2000,42,0,27.5,0.5,35.25,1.3
2250,42,0,24.5,1.5,32.25,1.3
2500,42.5,0.5,20.25,1.09,30.75,0.83
2750,42.25,0.43,23,1.73,31.75,0.83
3000,42.75,0.43,24,0,32.33,0.47
3250,41,0.82,19,1.58,31.33,0.47
3500,40.5,0.5,20.5,0.5,31,0.71
3750,41,0.71,20.5,0.5,32.75,0.43
4000,42,0,21,0.82,33,0
4250,42.5,0.5,22,0.71,33,0
4500,42,0,23.75,0.43,33,0
4750,41.5,0.5,23.75,0.43,31,0.71
5000,40.5,1.12,19,1.87,30,0
5250,37,1.22,13.75,0.43,30,0
5500,36,0,14,0.82,30,0
5750,37.2,1.17,11.75,0.43,30,0
6000,40,1,18.75,2.49,30,0
6250,42.75,0.83,24,0,31,0.89
6500,45,0,24,0,30.67,0.47
6750,45,0,24,0,30,0
7000,45,0,24,0,30.33,0.47
7250,43.25,0.83,24,0,31.5,0.5
7500,41.33,0.94,22,1.63,29.75,0.43
7750,39,0,12.33,2.49,28,0.71
8000,38.6,0.49,3.6,1.96,26.75,0.43
8250,39,0,3,1.41,26.5,0.5
8500,40,0.71,11.25,3.03,27,0
8750,41.67,0.47,21,1.63,28.25,0.83
9000,42.6,0.8,24,0,30,0
9250,44,0,24,0,30,0
9500,44.5,0.5,23.5,0.5,30,0
9750,43.75,0.83,23.75,0.43,30.25,0.43
10000,42.75,0.83,24,0,29.75,0.43
10250,41.25,0.83,19.25,3.03,28.5,0.5
10500,40,0.82,7.33,3.68,28,1
10750,39.2,0.4,8.6,3.2,27,0.58
11000,39.25,0.43,8.25,1.92,27,0
11250,40,0.71,11.33,2.49,27,0
11500,42,0,20,2.24,28.25,0.43
11750,42.75,0.83,24,0,29.75,0.43
12000,44.25,0.43,24,0,30,0
12250,44.5,0.5,23.75,0.43,30,0
12500,44.25,0.83,24,0,30,0
12750,42.67,0.94,24,0,30,0
13000,41.25,0.83,19.75,2.59,28.25,1.09
13250,39.67,0.47,10.33,1.25,27.25,0.43
13500,39,0,12.25,0.83,27,0
13750,39,0,11.25,0.43,27,0
14000,41.5,0.5,16.25,3.7,27.5,0.5
14250,42,0,23.75,0.43,29.75,0.43
14500,44,0.71,24,0,30,0
14750,44.5,0.5,24,0,30,0
15000,44,0.71,24,0,30,0
15250,42.5,0.87,23.67,0.47,29,0.82
15500,41.25,0.83,15.5,2.87,27.5,0.5
15750,39.75,0.83,15.33,1.7,27,0
16000,39,0,18,0,26.5,0.5
16250,40,0.71,14.5,1.66,27.25,0.43
16500,41.5,0.5,16.5,3.2,28.5,0.5
16750,42.33,0.47,24,0,30,0
17000,43.67,0.47,24,0,30,0
17250,44.6,0.49,24,0,30,0
17500,43.5,0.5,24.5,0.5,30,0
17750,42,0,21.75,2.49,30,0
18000,38.33,0.94,9,1.63,29,1.22
18250,37,1.22,11,1,27.5,0.5
18500,36.25,0.43,11.25,1.3,28.5,0.5
18750,39,0,11.25,5.21,30,0
19000,41.75,0.43,23.25,1.3,30,0
19250,44.25,0.43,23.75,0.43,29.5,0.87
19500,45,0,24,0,28,0.71
19750,44.75,0.43,23.75,0.43,29.5,0.5
20000,43.25,0.83,23.5,0.87,30,0
20250,41,1.22,23.33,0.94,30,0
20500,38,1.58,15,3.32,28.25,0.83
20750,36.33,0.47,8,1.22,27.33,0.47
21000,37.5,1.12,11,1.22,26.75,0.43
21250,38,1,12.33,2.05,26.33,0.94
21500,37.33,1.25,14.67,0.47,26.25,0.83
21750,38,1.22,10.5,1.5,27.25,1.09
22000,42.25,0.83,21.25,2.17,30,0
22250,43,1,24,0,30,0
22500,41.25,1.3,20.5,3.35,28.25,1.09
22750,37.75,1.48,11.25,1.3,26,1.22
23000,34.5,1.5,15,1.41,24.5,0.87
23250,36,0,16,1.22,24,0
23500,34.5,1.5,15.5,0.5,24,0
23750,35.5,1.5,16.67,0.47,26.33,0.94
24000,40,1,17.4,4.8,28.6,0.49
24250,42.25,0.43,24,0,30,0
24500,44,0,24,0,30,0
24750,43.25,0.83,24,0,30,0
25000,42,0.71,23.75,0.43,28.5,1.5
25250,37.75,2.17,12.75,5.97,26,0.71
25500,35.75,0.43,14.75,3.11,24.5,0.5
25750,36.33,0.47,18.5,0.5,24,0
26000,36.25,0.43,18.25,0.83,24,0
26250,34.5,1.5,13,2.24,25,1
26500,39.6,2.06,16.25,4.21,27.6,0.8
26750,42.33,0.47,24,0,29.67,0.47
27000,44,0.71,24,0,30,0
27250,44.5,0.5,24,0,30,0
27500,43.5,0.5,24,0,30,0
27750,41.5,0.5,22,1.58,28.25,1.09
28000,37.33,1.25,15.67,1.89,27,0
28250,33.75,1.3,16,2.12,27.5,0.5
28500,36,0,20.75,0.43,29,0
28750,35.75,0.43,18,1.87,28.75,0.43
29000,37.25,1.3,10.75,1.79,27.5,0.87
29250,41.25,0.83,20.5,2.96,27.5,0.5
29500,44,0.71,24,0,29,0
29750,45,0,24,0,29,0
30000,45,0,24,0,28.5,0.5
30250,44.33,0.47,24,0,30,0
30500,41.2,1.17,21,2.24,27.8,1.17
30750,37.5,1.12,13,2.45,25.75,0.83
31000,34,1.41,3.67,1.25,23.67,0.47
31250,35,1.41,11,1.63,24,0
31500,36.25,0.43,15.75,1.3,24.25,0.43
31750,36,0,17.33,0.47,25,0.71
32000,35.25,1.3,14,3.54,26.5,0.87
32250,40.25,1.48,15.5,6.42,29,1.22
32500,42.5,0.5,24.25,0.43,31,0.71
32750,44.75,0.43,23.25,0.43,30.5,0.87
33000,45,0,24.33,0.47,30,0
33250,45,0,24,0,29.33,0.47
33500,43,1.41,22.5,1.12,30,0
33750,39,1.41,17.33,1.7,29.5,0.87
34000,35.75,1.79,15.25,1.92,27.75,0.43
34250,33,0,20.75,0.43,28,0
34500,35.25,1.3,16.25,1.92,27.5,0.5
34750,38.75,1.48,14.25,1.92,28.75,0.83
35000,42.5,0.5,18.75,0.43,30.25,0.43
35250,44,0.71,16,1.22,31.25,0.43
35500,44.5,0.5,17.25,1.48,31.25,0.43
35750,44.25,0.83,17,0.71,32,0
36000,43.5,0.5,14.33,0.47,30.67,0.47
36250,42.33,0.47,14.25,0.83,29.67,0.47
36500,38,1.41,13.67,1.89,27.25,1.64
36750,34.33,1.25,18.33,2.05,27.5,0.87
37000,38,1.58,13.25,1.92,28.5,0.87
37250,41.75,0.43,18,1.22,30.25,0.43
37500,43,1,22.5,0.87,31.25,0.43
37750,44.25,0.43,21.33,0.47,30.33,0.47
38000,44.5,0.5,23.5,0.5,30.25,0.43
38250,43.25,1.09,22.25,0.43,31.25,0.43
38500,39.5,2.18,17.5,5.12,30.25,0.43
38750,34.5,1.66,14.67,2.87,30,0
39000,35,1.41,18.5,1.12,30,0
39250,36,0,13.75,1.79,30,0
39500,38,1.22,15,1.87,30,0
39750,40.67,1.25,14,1.41,31,1.22
40000,42.5,0.5,18.75,2.49,35.75,1.79
40250,44.5,0.5,22.33,1.25,36.33,0.47
40500,45,0,19.6,2.42,37,1.26
40750,45.5,0.5,14,2.12,37.5,1.12
41000,45.75,0.43,19.5,1.12,37,1
41250,45.5,0.5,21.25,0.43,36.75,0.83
41500,45.5,0.5,21.25,0.43,36.5,0.5
41750,45.5,0.5,20,0.82,36.33,0.47
42000,45.25,0.43,20.5,0.87,36.5,0.5
42250,45.5,0.5,19.75,0.43,36,0
42500,45.5,0.5,20.33,0.47,36,0
42750,45,0,13.5,5.55,37,0.82
43000,45,0,21.25,2.17,36,0
43250,45,0,25.5,1.12,33.75,1.3
43500,45.33,0.47,25.67,1.25,36.25,0.43
43750,45,0,24.25,0.43,36,0
44000,44.75,0.43,24,0,33.75,1.3
44250,44.5,0.5,24,0,32.75,0.43
44500,44.5,0.5,24,0,31.25,0.43
44750,44.5,0.5,24,0,31.5,0.5
45000,44.5,0.5,24,0,32,0
45250,44.5,0.5,24,0,33,0
45500,44.4,0.49,23.2,1.17,33,0
45750,43,0.82,21,0,33,0
46000,41.4,0.8,19,0.89,32.75,0.43
46250,38.33,0.94,17.67,0.47,30.25,0.43
46500,38.75,0.43,17,1,30,0
46750,40.75,1.3,14.5,1.5,30.5,0.5
47000,42,0,18,1.41,31.5,0.5
47250,44.5,0.5,23,1.22,32.25,0.43
47500,45,0,24.5,0.5,31.67,0.47
47750,45,0,24.25,0.43,32,0
48000,44.5,0.5,24.25,0.43,31.5,0.5
48250,44,0.71,19.5,2.06,32,0.71
48500,43.5,0.5,14.75,1.48,32,0
48750,43.5,0.5,12.33,0.47,31.5,0.5
49000,43,1,11.67,0.94,31.67,0.47
49250,43,1,12.25,0.83,31,0
49500,43.5,0.5,12.5,1.5,31.5,0.5
49750,43.5,0.5,15.75,0.83,32,0
50000,43.67,0.47,17.25,0.43,32,0
50250,43.5,0.5,18,0,32.25,0.43
50500,43.5,0.5,17.25,0.43,32,0
50750,43.33,0.47,21,0,31,0.71
51000,43.5,0.5,18.5,1.5,31.5,0.87
51250,43.5,0.5,17.25,0.43,31.75,0.43
51500,43.5,0.5,18,0,31.5,0.5
51750,43.5,0.5,18,0,31.75,0.43
52000,43.75,0.43,17.75,0.43,32,0
52250,43.5,0.5,17.5,0.5,31.5,0.5
52500,43.5,0.5,17.5,0.5,31.75,0.43
52750,43.5,0.5,17.5,0.5,31,0
53000,43.5,0.5,18,0,31.25,0.43
53250,43.75,0.43,20,1.22,31.25,0.43
53500,45,0,24.25,1.09,30.67,0.47
53750,45.25,0.43,27.67,0.94,30.67,0.47
54000,45.67,0.47,28.25,0.43,32.33,0.47
54250,45.25,0.43,27.75,0.83,31.25,0.83
54500,45,0,26,1.41,30,0
54750,43.5,1.12,19.5,3.64,30,0
55000,40,1.22,10.75,1.3,28.5,1.12
55250,38.25,0.83,14.25,0.83,27,0
55500,38.25,0.83,15.25,0.43,27.25,0.43
55750,40,1,15,0,29.25,0.83
56000,42.25,0.43,18.75,2.49,30.75,0.43
56250,44.5,0.5,23.67,0.47,30,0
56500,45,0,26.33,0.47,30,0
56750,45,0,27,0,30,0
57000,45,0,26.5,0.5,30,0
57250,44.5,0.5,23,1.22,30,0
57500,42.67,0.47,16.67,1.25,30,0
57750,42,0,15,0,30,0
58000,42,0,15,0,30,0
58250,41.9,0.3,13,0.95,29.64,0.48
58500,40,2.83,15.33,0.47,29.5,0.5
58750,42,0,15.75,0.43,29.5,0.5
59000,42,0,15,0,30,0
59250,42,0,17.25,0.83,30,0
59500,42.33,0.47,17.5,0.5,30,0
59750,42.25,0.43,17.67,0.47,31,0
60000,42.33,0.47,17.75,0.43,31.67,0.47
60250,42,0,18.25,0.43,32,0
60500,42.5,0.5,20.75,0.43,31.25,0.43
60750,42.5,0.5,20.67,0.47,31,0
61000,42.75,0.83,19,1.87,31,0
61250,42.75,0.43,15.75,0.83,31.75,0.43
61500,42.75,0.83,17.25,0.83,32,0
61750,42.5,0.5,16.67,0.94,32,0
62000,43,1,17.67,0.47,31.67,0.47
62250,42.75,0.43,17.5,0.5,32,0
62500,43.5,0.5,18,0,31.75,0.43
62750,43.25,0.83,18,0,31.75,0.43
63000,43.25,0.83,19.75,0.43,31.25,0.43
