# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,41.25,1.3,8.5,1.12,20.75,0.83
250,44,1.41,12.67,2.36,17.25,2.86
500,35.25,4.32,14,4.55,17.25,3.7
750,33,2.12,17,1.41,15,4.55
1000,35.25,5.89,16.25,3.03,14.75,5.63
1250,34.5,4.39,9.5,1.8,19.25,2.05
1500,41.5,1.5,12.33,3.77,17.75,2.49
1750,42.25,0.43,13.67,2.87,16.67,1.89
2000,35.25,3.77,14.5,4.92,17.25,3.27
2250,31,1.87,20.33,0.94,17,0
2500,33.33,3.68,16.5,4.03,13.67,1.25
2750,35.75,4.09,14.75,2.49,17.5,4.97
3000,41,1.41,10,1.63,21.25,1.09
3250,42.25,0.43,14.25,2.28,15.25,3.77
3500,35.75,3.27,15.25,2.17,19,2
3750,33,0,17,1,16.75,2.77
4000,36.5,2.87,14.25,4.92,13.5,5.02
4250,32.5,4.15,12.33,5.25,18.25,3.56
4500,40.67,1.25,13.5,1.5,20,2.55
4750,42.25,0.43,12.75,4.49,16,3
5000,34.5,4.5,19.25,1.3,20.25,4.55
5250,30.75,1.3,19.33,1.7,13.33,1.25
5500,35,3.67,14.5,6.06,13.25,2.17
5750,39.33,0.47,13.33,3.09,18.5,1.5
6000,41.33,0.94,12,4.06,19,1.41
6250,42.25,0.43,15.25,3.49,18,2.55
6500,33,3,17,3.67,20,1.63
6750,31.67,1.89,17.67,2.05,17.25,3.96
7000,32.75,3.27,19.25,2.68,15,0.82
7250,34.5,3.2,15.5,4.92,19,2.74
7500,40.33,1.25,14,3.74,22,1.41
7750,43.5,1.5,13.75,2.77,14.5,7.37
8000,35.75,4.55,15.75,2.59,14.75,4.32
8250,33.5,1.5,19.25,1.48,14.33,2.87
8500,36,3.67,14.67,6.94,15,2.16
8750,34.75,4.55,12,2.94,20.25,2.49
9000,40.5,1.12,14,2.12,19.5,1.5
9250,42,0,12.33,4.92,17.33,1.25
9500,33,2.45,20.33,2.87,17,6.36
9750,33.75,1.3,20.75,0.43,13.25,2.49
10000,35.25,5.26,14.25,3.49,15.75,2.49
10250,38.75,1.79,16,2.16,16.75,0.83
10500,40.75,1.3,13,6,14.75,2.17
10750,39,2.45,18,2.16,20.33,3.86
11000,34.33,3.09,21,1.87,10,0.82
11250,36,3.67,17,2.12,16,0.82
11500,34.75,5.76,14.67,3.09,18,0
11750,40.75,1.09,13.5,1.8,19.5,1.5
12000,43.5,1.5,15.33,2.49,19.5,1.66
12250,34.33,6.13,10.5,3.77,16.33,3.4
12500,33.75,1.3,19.5,1.12,17.33,4.5
12750,34,4.32,14.33,5.19,14.67,4.03
13000,35.33,2.49,14.67,2.62,16,1.58
13250,41,2.16,12,4.9,19.25,2.49
13500,44,1.22,16.25,2.38,14,5.7
13750,39,2.24,16.5,3.35,19,4.42
14000,35.25,2.86,23,1.22,13,7.71
14250,33.75,3.27,18,3.67,11.25,3.11
14500,35.5,3.35,11,1,19.5,1.5
14750,40.5,1.5,6,3,16.5,1.5
15000,42.8,1.47,13.67,1.89,18.8,2.04
15250,34,5.96,11,0,13.5,3.84
15500,30.67,1.7,16.75,2.59,20,0.82
15750,33.8,5.49,11,6.44,16,2.74
16000,38.33,1.7,14.25,3.11,20.33,0.94
16250,39.33,2.05,9.33,4.92,18.25,2.49
16500,42.25,0.43,19.5,1.5,17.25,3.77
16750,33.33,2.05,21.67,2.62,19.25,3.03
17000,32.75,2.17,24,0,11.5,0.87
17250,35,4.53,20.5,1.8,17.75,3.7
17500,36.75,2.49,12,2.24,18.25,1.09
17750,41,1.22,11.5,2.87,19.75,1.09
18000,41.25,1.3,10.33,4.71,16.5,4.56
18250,36,1.87,19.33,2.36,18.75,3.11
18500,33,0,17.67,2.62,9,5.34
18750,35.25,4.76,14,7.52,18.25,2.17
19000,37.75,2.77,14.67,5.44,18.67,2.05
19250,43.25,1.48,11.5,4.5,19,1
19500,39.5,3.77,11,4.64,13.5,2.29
19750,33.75,1.3,18.75,1.3,16.5,3.2
20000,33,0,16,1.22,8.67,4.71
20250,36.25,4.02,14.5,2.5,9.5,5.89
20500,35.75,3.83,14,1.22,17,1
20750,40,0.82,12,3.27,17.25,0.83
21000,42.5,0.5,10,2.12,16.25,3.7
21250,35.25,4.32,13,4.36,20,1.22
21500,32,1.73,18.5,1.12,19.75,1.64
21750,36,5.61,14,1.87,17.25,1.3
22000,32.5,4.77,14.25,2.28,21,2.24
22250,42,1.87,20.33,2.49,20.5,1.66
22500,40.5,4.5,16.5,2.06,17.75,4.71
22750,33,2.12,14.75,2.77,18,1.41
23000,33,4.12,17.75,5.36,16.75,2.86
23250,34.5,7.02,14.75,7.15,15,8.34
23500,39.5,1.5,13,4.74,20,1.22
23750,43.5,1.5,14.75,4.09,16.5,2.29
24000,34.75,5.4,17,4.24,21.25,2.68
24250,31.75,1.09,19,1.22,14.75,4.55
24500,33.75,4.44,12.25,6.02,15.75,3.9
24750,37,2.35,12.75,5.54,20.25,2.49
25000,41.5,1.5,12,0,20.67,0.47
25250,39.75,5.76,9,6.48,16.75,5.17
25500,32,1.22,12.75,3.03,17.25,3.9
25750,29.67,2.05,15.75,0.83,16.33,1.7
26000,37.33,3.86,10.33,7.04,14,4.74
26250,39,0,14.33,0.94,18.75,1.3
26500,41.75,1.09,15.33,2.49,19.25,1.3
26750,40,2.74,11.33,3.3,17,3
27000,33.5,2.87,17.25,0.83,18,2.12
27250,35,5.1,14,4,16,3.54
27500,37.5,2.69,14.33,3.3,19.25,1.3
27750,42.75,1.48,9.67,1.7,18.67,1.7
28000,41,4.74,11.75,5.36,13,3.81
28250,33.75,1.3,13,6.36,17.5,2.87
28500,32.25,2.49,15.75,1.48,16,1.41
28750,34,6,15.67,3.09,19.75,2.17
29000,40,1.73,12.25,1.79,21.25,0.43
29250,43.75,1.64,12.75,1.92,21.75,1.48
29500,36,4.24,14.25,1.3,15.5,3.28
29750,33,2.12,16.25,1.3,15,7.58
30000,36.25,3.9,13.25,4.44,16.33,2.05
30250,37.25,3.63,13.67,3.68,18,1.41
30500,42.5,0.87,11.75,5.63,17.75,0.43
30750,38.75,6.83,14,1.41,16.5,4.03
31000,32.33,0.94,12.67,0.47,15.67,1.7
31250,30,1.63,16.5,1.12,17.67,5.44
31500,37.33,3.09,11,3.27,12.33,8.38
31750,36.25,3.63,12.25,5.21,18,2.12
32000,41.25,1.09,14.67,2.05,17.5,1.12
32250,39.25,5.36,7.33,3.09,16.25,3.03
32500,33,2.12,16.5,1.66,18,1.87
32750,34.25,3.42,15,2.55,17,2.35
33000,34,5.34,12,3.67,20,1.22
33250,41.25,1.3,13.33,2.36,17.33,1.7
33500,41,2.55,9,0,18.75,2.05
33750,34,2.12,10.67,1.89,17,4.97
34000,34.25,4.6,17.75,0.43,15.75,2.49
34250,36.67,3.3,12,3.54,17.5,1.5
34500,38.67,0.47,14.33,2.62,16.25,1.09
34750,39.75,1.3,12.67,3.3,17.5,2.29
35000,39.5,5.5,12.25,4.44,15.5,3.64
35250,32.5,2.87,16.25,2.38,17.75,2.17
35500,34.75,3.03,17.67,2.05,15,3
35750,32,5.66,16,2,20.33,0.94
36000,38.67,0.47,13.67,0.94,19,1.41
36250,42,0,12.25,3.27,20,1.41
36500,34.25,5.17,14.5,1.5,16,2.16
36750,31,1.41,17.25,2.86,18,1
37000,31.75,4.84,16.33,1.89,17.6,2.06
37250,38.67,0.47,14,1.58,19,0.82
37500,41.5,0.87,11.75,3.9,18.25,1.48
37750,39.75,2.49,12.25,0.43,16,4.42
38000,35.67,2.05,18,2.94,18.75,2.49
38250,33.75,1.3,18.25,3.11,15,3.08
38500,35.25,3.56,18,0.71,18,1.87
38750,39.25,1.64,11.33,2.05,20.25,0.83
39000,43.5,1.5,11,3.27,18.33,1.25
39250,38,2.12,16.75,4.92,17.5,4.39
39500,35.25,2.49,16.25,3.7,11.5,3.57
39750,33,7.78,11.67,4.03,20.5,0.5
40000,39.25,1.09,12.4,2.65,19,1.9
40250,41.5,0.87,17.33,0.94,17.67,1.25
40500,39.5,4.92,14.25,1.92,14.5,7.57
