# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,48,0,6.25,0.43,2,0.71
250,48,0,6,0,1.67,0.94
500,48,0,6,0,2,1
750,48,0,5.25,0.43,2.67,0.94
1000,48,0,5.5,0.5,2,0.82
1250,48,0,6.25,0.43,1.33,0.47
1500,48,0,6.33,0.47,1,0
1750,48,0,6.25,0.43,1.5,0.5
2000,48,0,6,0,2,0.82
2250,48,0,6,0,1.5,0.5
2500,48,0,6,0,1.67,0.94
2750,48,0,6,0,2,0.82
3000,48,0,5.67,0.47,2,1
3250,48,0,5,0,1.75,0.83
3500,48,0,5.25,0.43,2.67,0.94
3750,48,0,5,0,1.75,0.83
4000,48,0,5,0,2.25,0.83
4250,48,0,5,0,2,0.82
4500,48,0,5.25,0.43,2,0.71
4750,48,0,6,0,1.25,0.43
5000,48,0,6,0,1.75,0.83
5250,48,0,6,0,1.5,0.5
5500,48,0,6,0,2,0.82
5750,48,0,6,0,1,0
6000,48,0,6,0,1.33,0.47
6250,48,0,5.67,0.47,1,0
6500,48,0,5.75,0.43,1,0
6750,48,0,5.75,0.43,1.5,0.5
7000,48,0,5.75,0.43,1.33,0.47
7250,48,0,5.5,0.5,2.5,0.5
7500,48,0,5.75,0.43,2,0.82
7750,48,0,5.67,0.47,1.5,0.5
8000,48,0,5.75,0.43,2.5,0.5
8250,48,0,6.25,0.43,1,0
8500,48,0,6.25,0.43,2,0
8750,48,0,6,0,2.67,1.25
9000,48,0,6.75,0.43,4.33,0.47
9250,48,0,7,0,4.25,0.83
9500,48,0,6.5,0.5,3,0.71
9750,48,0,6.25,0.43,2,0
10000,48,0,5.67,0.47,1,0
10250,48,0,6.33,0.47,4,0.82
10500,48,0,6.5,0.5,3.5,1.8
10750,48,0,6.5,0.5,2,0
11000,48,0,8.25,0.43,1.5,0.5
11250,48,0,8.5,0.5,1,0
11500,48,0,7,0,1.25,0.43
11750,48,0,7,0,2,0
12000,48,0,6.5,0.5,3.67,0.47
12250,48,0,5.75,0.43,4.5,1.12
12500,48,0,5.5,0.5,3.75,0.43
12750,48,0,6,0,4,0.82
13000,48,0,5.75,0.43,4,1.22
13250,48,0,6,0,4,0.82
13500,48,0,6,0,3.33,0.47
13750,48,0,6.25,0.43,2.75,0.43
14000,48,0,6.25,0.43,3,0
14250,48,0,5.33,0.47,2.25,0.83
14500,48,0,6.5,0.5,2.5,0.5
14750,48,0,6.5,0.5,3,1.41
15000,48,0,6.5,0.5,4.75,0.83
15250,48,0,6,0,5.25,0.83
15500,48,0,6,0,4.25,1.3
15750,48,0,6,0,4,1
16000,48,0,6.5,0.5,4,0
16250,48,0,6.75,0.43,4.5,0.87
16500,48,0,7,0,4.25,0.83
16750,48,0,6.75,0.43,4.25,0.83
17000,48,0,6.5,0.5,4.33,0.94
17250,48,0,6.5,0.5,4,0
17500,48,0,6.25,0.43,4,1.22
17750,48,0,6.25,0.43,4.25,0.83
18000,48,0,6,0,4.5,1.12
18250,48,0,5.75,0.43,4.75,0.43
18500,48,0,6,0,4,1
18750,48,0,6,0,4.5,1.12
19000,48,0,6,0,3.33,0.47
19250,48,0,6,0.71,4.5,1.12
19500,48,0,6.25,0.43,3.5,0.5
19750,48,0,6,0,4,0
20000,48,0,6.8,0.4,3.5,0.5
20250,48,0,6.33,0.47,3.5,0.5
20500,48,0,6.25,0.43,4,1.22
20750,48,0,6,0,4,1.22
21000,48,0,6.25,0.43,4.33,1.25
21250,48,0,6,0,4,0.71
21500,48,0,6,0,4,0.71
21750,48,0,6,0,3,0.82
22000,48,0,5.33,0.47,2.67,0.47
22250,48,0,5,0,2.25,1.3
22500,48,0,5,0,3.75,1.3
22750,48,0,4.75,0.43,3.67,0.47
23000,48,0,5,0,5,0
23250,48,0,5,0,4.25,1.09
23500,48,0,6,0,5.67,1.25
23750,48,0,6,0,5.25,0.43
24000,48,0,7,0,4.33,0.94
24250,48,0,7,0,5.33,0.94
24500,48,0,7,0,4.5,0.5
24750,48,0,7,0,6,0
25000,48,0,8,0.63,5,0.89
25250,48,0,8.25,0.83,3.33,0.47
25500,48,0,9.25,0.43,1.75,0.43
25750,48,0,8.67,0.47,2,1
26000,48,0,6.25,0.43,1.75,0.83
26250,48,0,5.25,0.43,3.75,0.83
26500,48,0,3.75,0.83,5,1.22
26750,48,0,3,0,5.67,0.47
27000,48,0,3.25,0.43,5.33,0.47
27250,48,0,2.25,0.43,5.67,0.47
27500,48,0,2,0,5.33,0.47
27750,48,0,1.67,0.47,5.33,0.47
28000,48,0,1.5,0.5,5,1
28250,48,0,1.75,0.43,6.5,0.5
28500,48,0,1,0,6.67,0.47
28750,48,0,1.33,0.47,5.75,0.43
29000,48,0,2,0,4.5,1.12
29250,48,0,2.75,0.43,5.75,0.43
29500,48,0,2.5,0.5,6.5,1.12
29750,48,0,1.75,0.83,5.33,0.94
30000,48,0,3.75,0.43,5.25,0.83
30250,48,0,3.33,0.47,5,0.82
30500,48,0,4.5,0.5,5,0.71
30750,48,0,5.5,0.5,5.67,0.47
31000,48,0,5.75,0.43,5.25,0.83
31250,48,0,5.75,0.43,5.67,1.25
31500,48,0,5.75,0.43,4.75,0.43
31750,48,0,5.75,0.43,5.33,0.94
32000,48,0,5.67,0.47,5.5,0.5
32250,48,0,5.75,0.43,5.5,0.5
32500,48,0,5.75,0.43,5.25,0.43
32750,48,0,5.75,0.43,5.5,0.5
33000,48,0,6,0,5.25,0.43
33250,48,0,6,0,5.25,0.83
33500,48,0,7,0.71,5.25,0.83
33750,48,0,6.5,0.5,3.75,1.48
34000,48,0,5.5,0.5,5.5,1.12
34250,48,0,6.33,0.47,4.67,0.47
34500,48,0,7.67,0.47,3.33,0.47
34750,48,0,6,2.16,4.33,1.25
35000,48,0,5.33,2.05,7.33,0.47
35250,48,0,5.25,2.86,3.5,1.12
35500,48,0,3,0,4.67,1.25
35750,48,0,3,0,4.5,0.5
36000,48,0,2,0.82,3.67,1.7
36250,48,0,4,1.87,4,1.41
36500,48,0,5.75,1.09,2.5,1.12
36750,48,0,6,0,2.5,0.5
37000,48,0,5.67,0.47,1.67,0.47
37250,48,0,3,0,2.33,0.94
37500,48,0,3.5,1.66,3.5,0.5
37750,48,0,4.25,1.3,4.5,0.5
38000,48,0,5.5,1.8,4.25,1.3
38250,48,0,7.67,0.47,5,0
38500,48,0,6.75,1.48,5,0
38750,48,0,8.25,1.3,8.75,2.28
39000,48,0,3.75,0.83,10.25,0.83
39250,48,0,3.33,0.47,10,0
39500,48,0,5,0.71,9.5,0.5
39750,48,0,9.25,0.83,9,0
40000,48,0,11.25,0.43,9.75,0.83
40250,48,0,11.75,0.43,11,1
40500,48,0,12,0,11.67,0.47
40750,48,0,12,0,12,0
41000,48,0,13,1.22,10.25,1.09
41250,48,0,11.5,0.5,11.33,0.94
41500,48,0,11.75,0.43,12,0
41750,48,0,13,0,12,0
42000,48,0,13,0.82,11.5,0.87
42250,48,0,11,0.71,9.25,1.09
42500,48,0,10.75,0.83,8.5,0.5
42750,48,0,11.5,0.5,8,0.71
43000,48,0,10.25,0.43,6.75,0.83
43250,48,0,11,0.71,6.5,0.5
43500,48,0,10.5,0.5,7,1
43750,48,0,10,0,7,0.82
44000,48,0,9.5,0.5,7.5,1.12
44250,48,0,8.25,0.83,6.75,0.83
44500,48,0,7.25,0.43,6.5,0.87
44750,48,0,8,0,8.5,0.5
45000,48,0,7,0,8.33,0.47
45250,48,0,7,0,7,0.82
45500,48,0,7,0,7.5,0.5
45750,48,0,6.5,0.5,8,1
46000,48,0,7,0.82,7.5,0.5
46250,48,0,6.25,0.43,8.25,0.43
46500,48,0,6.75,0.43,9,0
46750,48,0,6.5,0.5,8.5,0.5
47000,48,0,6.25,0.43,8.5,0.5
47250,48,0,6,0.71,8.5,0.5
47500,48,0,5,0,8.75,0.43
47750,48,0,5.67,0.47,8.67,0.47
48000,48,0,5.25,0.43,8.67,0.47
48250,48,0,4,0.71,8.75,0.43
48500,48,0,4.33,0.47,9,0
48750,48,0,5.75,0.43,8.75,0.83
49000,48,0,3.5,0.5,9,0
49250,48,0,4.5,0.5,8.5,0.5
49500,48,0,5.25,0.43,9,0
49750,48,0,6,0,8.75,0.43
50000,48,0,7,0,8,0.71
50250,48,0,6.5,0.5,9.25,0.43
50500,48,0,5.33,1.25,8.33,0.47
50750,48,0,5.25,0.43,8.25,0.83
51000,48,0,5.5,0.87,9,0
51250,48,0,6,0,9.25,0.43
51500,48,0,6.33,0.47,9.25,0.43
51750,48,0,6,0,9.5,0.5
52000,48,0,6,0,9.25,0.43
52250,48,0,6.25,0.43,9.25,0.43
52500,48,0,7.67,0.47,9,0
52750,48,0,8,0,9,0.71
53000,48,0,7.75,0.43,8.75,0.43
