# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,35.75,2.77,14.67,2.05,14,0
250,40,4.06,12,3.94,13,7.38
500,33,4.24,14,1,15.67,2.62
750,30.25,0.43,15.25,2.77,20.25,7.4
1000,40,0.82,13.25,5.8,21,2.94
1250,34.5,1.5,13,1.87,16.25,4.49
1500,35.5,3.91,14.5,3.77,17.5,1.12
1750,38.67,6.94,18.33,1.25,18.25,1.79
2000,27.75,6.83,9.5,4.97,17.5,3.57
2250,27.75,3.9,17.25,2.49,14.5,2.6
2500,38.25,4.32,17.5,4.15,18.75,4.44
2750,32.75,2.17,18.25,2.86,20.25,3.56
3000,33.25,3.9,16.5,1.12,18,0
3250,40.5,3.35,14.5,2.87,15,4.3
3500,25.75,7.95,14.25,4.44,19.25,4.55
3750,25.5,2.69,16.5,3.2,18.25,2.95
4000,34.5,9.07,17.25,2.49,20.5,2.29
4250,38.25,2.86,17.75,4.6,23.5,0.87
4500,35,2.12,20.25,3.27,19.75,2.95
4750,42.75,2.49,14.5,2.5,21.25,1.09
5000,38.5,3.77,16,4.85,16.75,5.36
5250,37.25,1.09,16.5,3.77,12,4.64
5500,35,5.74,18.5,4.33,13.5,3.84
5750,37.25,4.09,18.5,1.5,19.25,2.95
6000,39.75,2.49,11.25,1.92,17,2.35
6250,39.5,5.59,5,5.66,20,1.41
6500,37,4.18,13.67,2.36,21,3
6750,33.33,6.8,17.75,3.56,15,0
7000,41.67,4.92,10.67,3.68,17.67,2.05
7250,34.67,3.4,18,2.94,17.75,3.56
7500,34.75,3.03,17.25,2.86,23,1
7750,41.25,4.32,15.33,0.47,18.25,1.79
8000,36,7.04,12.67,4.99,19.25,6.02
8250,28.75,1.48,6.25,3.34,16,4.58
8500,33,4.24,14.5,4.92,19.75,3.77
8750,37.25,2.49,13,6.16,16.5,3.04
9000,38.75,0.43,19.75,3.27,14,5.34
9250,42.75,3.11,18,6.36,12.25,2.95
9500,34.75,6.02,18.33,3.09,20.33,5.91
9750,31.25,5.76,14.75,4.21,19.75,2.77
10000,36.67,0.47,14.25,3.11,18,0
10250,43,5.1,17.67,4.5,12.75,2.86
